Year,Month,Day,Marsh,Zone,Cage,Treatment,Stems(all),Stems(live),Stems(dead),Flowers,Pickle_CH_Avg,Spartina_L,Spartina_D,Mud,Sarcocornia,Salicornia,Batis,Jaumea,Triglochin,Unknown,Wrack,Not_visible
2016,April,26,KF1,reg,1,ambient,54,NA,NA,0,31,43,6,16,35,0,0,0,0,0,0,0
2016,April,26,KF1,reg,2,ambient,49,NA,NA,0,44,42,9,23,27,0,0,0,0,0,0,0
2016,April,26,KF1,reg,3,no,60,NA,NA,0,40,42,8,21,30,0,0,0,0,0,0,0
2016,April,26,KF1,reg,4,ambient,54,NA,NA,0,33.5,33,13,14,25,0,16,0,0,0,0,0
2016,April,26,KF1,reg,5,no,67,NA,NA,0,22,22,3,32,43,0,0,0,0,0,0,0
2016,April,26,KF1,reg,6,no,49,NA,NA,0,25,42,11,5,26,0,16,0,0,0,0,0
2016,April,26,KF1,reg,7,ambient,63,NA,NA,0,20.5,23,15,11,46,0,5,0,0,0,0,0
2016,April,26,KF1,reg,8,ambient,55,NA,NA,0,24.5,29,17,20,24,0,11,0,0,0,0,0
2016,April,26,KF1,reg,9,no,64,NA,NA,0,21,32,14,7,32,0,13,2,0,0,0,0
2016,April,26,KF1,reg,10,no,86,NA,NA,0,23,40,8,12,35,0,4,0,0,0,0,0
2016,April,26,KF1,reg,A,cc,62,NA,NA,0,44,34,10,25,20,0,11,0,0,0,0,0
2016,April,26,KF1,reg,B,cc,52,NA,NA,0,19.5,30,27,13,25,0,5,0,0,0,0,0
2016,April,26,KF2,reg,11,ambient,81,NA,NA,0,26,34,19,25,22,0,0,0,0,0,0,0
2016,April,26,KF2,reg,12,no,90,NA,NA,0,36,44,22,11,23,0,0,0,0,0,0,0
2016,April,26,KF2,reg,13,no,108,NA,NA,0,29,31,21,10,27,0,9,1,0,1,0,0
2016,April,26,KF2,reg,14,no,74,NA,NA,0,30,54,20,11,16,0,0,0,0,0,0,0
2016,April,26,KF2,reg,15,ambient,102,NA,NA,0,35.6,48,18,11,16,0,7,0,0,0,0,0
2016,April,26,KF2,reg,16,no,115,NA,NA,0,28,60,10,13,17,0,0,0,0,0,0,0
2016,April,26,KF2,reg,17,ambient,65,NA,NA,0,33.05,26,8,19,43,0,3,0,0,0,0,0
2016,April,26,KF2,reg,18,no,59,NA,NA,0,55.55,32,5,0,40,0,5,15,3,0,0,0
2016,April,26,KF2,reg,19,ambient,91,NA,NA,0,30.2,43,21,15,21,0,1,0,0,0,0,0
2016,April,26,KF2,reg,20,ambient,67,NA,NA,0,38.9,29,26,9,33,0,3,0,0,0,0,0
2016,April,26,KF2,reg,C,cc,76,NA,NA,0,42,53,10,7,14,0,16,0,0,0,0,0
2016,April,26,KF2,reg,D,cc,74,NA,NA,0,30.6,35,5,8,32,0,21,0,0,0,0,0
2016,May,25,KF1,reg,1,ambient,73,NA,NA,0,38.2,42,16,21,22,0,0,0,0,0,0,0
2016,May,25,KF1,reg,2,ambient,66,NA,NA,0,33.15,36,13,28,22,0,0,0,0,0,0,0
2016,May,25,KF1,reg,3,no,89,NA,NA,0,38.15,50,13,12,23,0,2,0,0,0,0,0
2016,May,25,KF1,reg,4,ambient,37,NA,NA,0,28.85,29,6,32,34,0,0,0,0,0,0,0
2016,May,25,KF1,reg,5,no,47,NA,NA,0,31.95,39,10,13,17,0,20,0,0,0,0,0
2016,May,25,KF1,reg,6,no,48,NA,NA,0,35.75,31,7,12,30,0,20,0,0,0,0,0
2016,May,25,KF1,reg,7,ambient,49,NA,NA,0,29.25,22,9,16,48,0,4,0,0,0,0,0
2016,May,25,KF1,reg,8,ambient,44,NA,NA,0,45.85,30,19,10,27,0,14,0,0,0,0,0
2016,May,25,KF1,reg,9,no,56,NA,NA,0,39,37,15,6,28,0,14,0,0,0,0,0
2016,May,25,KF1,reg,10,no,72,NA,NA,0,26.15,42,7,16,31,0,4,0,0,0,0,0
2016,May,25,KF1,reg,A,cc,82,NA,NA,0,30.5,45,8,7,27,0,13,0,0,0,0,0
2016,May,25,KF1,reg,B,cc,44,NA,NA,0,34.05,17,20,19,39,0,6,0,0,0,0,0
2016,May,25,KF2,reg,11,ambient,96,NA,NA,0,32.7,28,20,35,16,0,0,0,0,0,0,0
2016,May,25,KF2,reg,12,no,97,NA,NA,0,42.4,35,26,16,22,0,1,0,0,0,0,0
2016,May,25,KF2,reg,13,no,87,NA,NA,0,35.3,31,14,3,40,0,11,0,0,2,0,0
2016,May,25,KF2,reg,14,no,75,NA,NA,0,29.7,39,19,25,17,0,0,0,0,0,0,0
2016,May,25,KF2,reg,15,ambient,98,NA,NA,0,38.9,32,20,13,20,0,15,0,0,0,0,0
2016,May,25,KF2,reg,16,no,108,NA,NA,0,29.1,53,12,17,18,0,0,0,0,0,0,0
