Year,Site,Cage,Treatment,Plant,Mass.Final
2018,KF1,1,ambient,Ba,7.498
2018,KF1,1,ambient,CD,4.988
2018,KF1,1,ambient,CL,32.018
2018,KF1,1,ambient,Pi,330.844
2018,KF1,2,ambient,Ba,39.068
2018,KF1,2,ambient,CD,15.288
2018,KF1,2,ambient,CL,8.198
2018,KF1,2,ambient,Pi,426.592
2018,KF1,3,removal,Ba,9.178
2018,KF1,3,removal,CD,15.368
2018,KF1,3,removal,CL,62.098
2018,KF1,3,removal,Pi,272.784
2018,KF1,4,ambient,CD,12.868
2018,KF1,4,ambient,CL,23.548
2018,KF1,4,ambient,Pi,433.82
2018,KF1,5,removal,Ba,81.986
2018,KF1,5,removal,CD,46.624
2018,KF1,5,removal,CL,107.958
2018,KF1,5,removal,Pi,171.206
2018,KF1,6,removal,Ba,52.238
2018,KF1,6,removal,CD,7.288
2018,KF1,6,removal,CL,36.648
2018,KF1,6,removal,other,19.828
2018,KF1,6,removal,Pi,337.462
2018,KF1,7,ambient,Ba,48.348
2018,KF1,7,ambient,CD,5.548
2018,KF1,7,ambient,CL,25.688
2018,KF1,7,ambient,Pi,259.624
2018,KF1,8,ambient,Ba,75.568
2018,KF1,8,ambient,CD,2.278
2018,KF1,8,ambient,CL,23.938
2018,KF1,8,ambient,Pi,444.212
2018,KF1,9,removal,Ba,96.336
2018,KF1,9,removal,CD,4.548
2018,KF1,9,removal,CL,26.578
2018,KF1,9,removal,Pi,313.992
2018,KF1,10,removal,Ba,17.898
2018,KF1,10,removal,CD,6.778
2018,KF1,10,removal,CL,47.588
2018,KF1,10,removal,Pi,388.702
2018,KF1,51,high,CL,39.988
2018,KF1,51,high,Pi,325.344
2018,KF1,52,high,CD,8.218
2018,KF1,52,high,CL,37.738
2018,KF1,52,high,Pi,228.416
2018,KF1,53,high,Ba,65.058
2018,KF1,53,high,CD,5.478
2018,KF1,53,high,CL,29.518
2018,KF1,53,high,other,99.748
2018,KF1,53,high,Pi,125.486
2018,KF1,54,high,Ba,5.598
2018,KF1,54,high,CD,13.528
2018,KF1,54,high,CL,36.108
2018,KF1,54,high,other,35.638
2018,KF1,54,high,Pi,248.246
2018,KF1,55,high,Ba,71.668
2018,KF1,55,high,CD,8.978
2018,KF1,55,high,CL,42.598
2018,KF1,55,high,Pi,213.616
2018,KF1,A,cc,Ba,92.048
2018,KF1,A,cc,CD,15.418
2018,KF1,A,cc,CL,56.068
2018,KF1,A,cc,Pi,179.106
2018,KF1,B,cc,CD,20.638
2018,KF1,B,cc,CL,69.618
2018,KF1,B,cc,other,0
2018,KF1,B,cc,Pi,213.074
2018,KF1,K,cc,CD,9.908
2018,KF1,K,cc,CL,80.278
2018,KF1,K,cc,other,0.118
2018,KF1,K,cc,Pi,200.926
2018,KF1,L,cc,CD,11.358
2018,KF1,L,cc,CL,42.058
2018,KF1,L,cc,Pi,226.494
2018,KF1,M,cc,Ba,53.098
2018,KF1,M,cc,CD,17.048
2018,KF1,M,cc,CL,28.288
2018,KF1,M,cc,other,20.118
2018,KF1,M,cc,Pi,139.036
2018,KF1,N,ncc,Ba,4.988
2018,KF1,N,ncc,CD,10.188
2018,KF1,N,ncc,CL,45.228
2018,KF1,N,ncc,Pi,206.246
2018,KF1,O,ncc,Ba,24.948
2018,KF1,O,ncc,CD,14.448
2018,KF1,O,ncc,CL,71.848
2018,KF1,O,ncc,Pi,147.726
2018,KF1,P,ncc,Ba,32.578
2018,KF1,P,ncc,CD,4.498
2018,KF1,P,ncc,CL,7.398
2018,KF1,P,ncc,other,47.568
2018,KF1,P,ncc,Pi,33.688
2018,KF1,Q,ncc,Ba,33.398
2018,KF1,Q,ncc,CD,27.328
2018,KF1,Q,ncc,CL,82.818
2018,KF1,Q,ncc,other,0
2018,KF1,Q,ncc,Pi,66.708
2018,KF1,R,ncc,Ba,11.248
2018,KF1,R,ncc,CD,11.008
2018,KF1,R,ncc,CL,44.308
2018,KF1,R,ncc,Pi,142.606
2018,KF2,11,ambient,CD,11.298
2018,KF2,11,ambient,CL,37.368
2018,KF2,11,ambient,Pi,326.224
2018,KF2,12,removal,Ba,18.198
2018,KF2,12,removal,CD,4.198
2018,KF2,12,removal,CL,39.808
2018,KF2,12,removal,Pi,444.65
2018,KF2,13,removal,Ba,61.218
2018,KF2,13,removal,CD,9.968
2018,KF2,13,removal,CL,14.618
2018,KF2,13,removal,other,36.418
2018,KF2,13,removal,Pi,393.376
2018,KF2,14,removal,Ba,14.788
2018,KF2,14,removal,CL,14.318
2018,KF2,14,removal,Pi,713.204
2018,KF2,15,ambient,Ba,41.808
2018,KF2,15,ambient,CD,5.548
2018,KF2,15,ambient,CL,7.468
2018,KF2,15,ambient,Pi,461.852
2018,KF2,16,removal,Ba,12.438
2018,KF2,16,removal,other,0.488
2018,KF2,16,removal,Pi,549.798
2018,KF2,17,ambient,Ba,63.948
2018,KF2,17,ambient,CD,13.218
2018,KF2,17,ambient,CL,16.938
2018,KF2,17,ambient,other,6.048
2018,KF2,17,ambient,Pi,344.794
2018,KF2,18,removal,Ba,24.948
2018,KF2,18,removal,CD,1.618
2018,KF2,18,removal,CL,9.358
2018,KF2,18,removal,other,249.824
2018,KF2,18,removal,Pi,235.832
2018,KF2,19,ambient,Ba,47.678
2018,KF2,19,ambient,CD,5.808
2018,KF2,19,ambient,CL,19.988
2018,KF2,19,ambient,Pi,315.29
2018,KF2,20,ambient,Ba,51.958
2018,KF2,20,ambient,CD,24.088
2018,KF2,20,ambient,CL,20.048
2018,KF2,20,ambient,Pi,276.242
2018,KF2,56,high,Ba,26.168
2018,KF2,56,high,CD,50.228
2018,KF2,56,high,Pi,271.096
2018,KF2,57,high,CD,28.418
2018,KF2,57,high,CL,34.418
2018,KF2,57,high,Pi,326.794
2018,KF2,58,high,Ba,14.018
2018,KF2,58,high,CD,0.758
2018,KF2,58,high,CL,4.898
2018,KF2,58,high,Pi,401.794
2018,KF2,59,high,Ba,25.118
2018,KF2,59,high,CD,0
2018,KF2,59,high,CL,12.168
2018,KF2,59,high,other,0
2018,KF2,59,high,Pi,471.51
2018,KF2,60,high,Ba,38.518
2018,KF2,60,high,CD,10.618
2018,KF2,60,high,CL,23.888
2018,KF2,60,high,Pi,281.314
2018,KF2,C,cc,Ba,90.608
2018,KF2,C,cc,CD,7.478
2018,KF2,C,cc,CL,18.398
2018,KF2,C,cc,Pi,248.474
2018,KF2,D,cc,Ba,70.438
2018,KF2,D,cc,CD,15.568
2018,KF2,D,cc,CL,79.148
2018,KF2,D,cc,Pi,160.096
2018,KF2,S,cc,Ba,38.488
2018,KF2,S,cc,CL,63.326
2018,KF2,S,cc,Pi,197.45
2018,KF2,T,cc,Ba,63.808
2018,KF2,T,cc,CD,10.638
2018,KF2,T,cc,CL,37.568
2018,KF2,T,cc,Pi,276.584
2018,KF2,U,cc,CD,6.908
2018,KF2,U,cc,CL,47.138
2018,KF2,U,cc,Pi,217.636
2018,KF2,V,ncc,Ba,4.048
2018,KF2,V,ncc,CD,2.258
2018,KF2,V,ncc,CL,13.046
2018,KF2,V,ncc,Pi,362.774
2018,KF2,W,ncc,CD,9.988
2018,KF2,W,ncc,CL,65.918
2018,KF2,W,ncc,Pi,221.496
2018,KF2,X,ncc,Ba,78.708
2018,KF2,X,ncc,CD,7.148
2018,KF2,X,ncc,CL,38.948
2018,KF2,X,ncc,Pi,115.328
2018,KF2,Y,ncc,Ba,14.928
2018,KF2,Y,ncc,CD,6.888
2018,KF2,Y,ncc,CL,43.738
2018,KF2,Y,ncc,Pi,170.886
2018,KF2,Z,ncc,Ba,12.118
2018,KF2,Z,ncc,CD,12.698
2018,KF2,Z,ncc,CL,15.708
2018,KF2,Z,ncc,Pi,183.396
2018,SDL,31,ambient,CD,20.288
2018,SDL,31,ambient,CL,75.878
2018,SDL,31,ambient,Pi,121.498
2018,SDL,32,removal,CD,39.498
2018,SDL,32,removal,CL,174.136
2018,SDL,32,removal,Pi,35.658
2018,SDL,33,removal,CL,107.788
2018,SDL,33,removal,other,26.078
2018,SDL,33,removal,Pi,42.878
2018,SDL,34,ambient,CD,9.078
2018,SDL,34,ambient,CL,79.778
2018,SDL,34,ambient,Pi,118.358
2018,SDL,35,ambient,CD,49.938
2018,SDL,35,ambient,CL,88.708
2018,SDL,35,ambient,Pi,58.938
2018,SDL,36,removal,CD,124.398
2018,SDL,36,removal,CL,573.018
2018,SDL,37,ambient,CD,114.028
2018,SDL,37,ambient,CL,408.152
2018,SDL,37,ambient,Pi,80.258
2018,SDL,38,removal,CD,45.628
2018,SDL,38,removal,CL,155.616
2018,SDL,38,removal,Pi,53.918
2018,SDL,39,ambient,CD,34.738
2018,SDL,39,ambient,CL,205.566
2018,SDL,39,ambient,Pi,107.546
2018,SDL,40,removal,CD,53.058
2018,SDL,40,removal,CL,378.69
2018,SDL,40,removal,Pi,121.408
2018,SDL,61,high,CD,59.948
2018,SDL,61,high,CL,269.624
2018,SDL,61,high,other,80.758
2018,SDL,61,high,Pi,14.468
2018,SDL,62,high,CD,28.578
2018,SDL,62,high,CL,107.258
2018,SDL,62,high,Pi,54.058
2018,SDL,63,high,CD,107.076
2018,SDL,63,high,CL,508.958
2018,SDL,63,high,Pi,131.558
2018,SDL,64,high,CD,121.548
2018,SDL,64,high,CL,431.202
2018,SDL,64,high,Pi,68.828
2018,SDL,65,high,CD,72.898
2018,SDL,65,high,CL,143.996
2018,SDL,65,high,other,12.548
2018,SDL,65,high,Pi,165.998
2018,SDL,G,cc,CD,21.368
2018,SDL,G,cc,CL,114.328
2018,SDL,G,cc,Pi,53.688
2018,SDL,H,cc,CD,31.678
2018,SDL,H,cc,CL,201.226
2018,SDL,H,cc,Pi,51.038
2018,SDL,II,cc,CD,64.018
2018,SDL,II,cc,CL,166.116
2018,SDL,II,cc,Pi,127.478
2018,SDL,JJ,cc,CD,39.018
2018,SDL,JJ,cc,CL,458.03
2018,SDL,JJ,cc,Pi,147.178
2018,SDL,KK,cc,CD,48.318
2018,SDL,KK,cc,CL,200.716
2018,SDL,KK,cc,Pi,66.048
2018,SDL,LL,cc,CD,20.698
2018,SDL,LL,cc,CL,94.608
2018,SDL,LL,cc,Pi,26.388
2018,SDL,MM,ncc,CL,145.586
2018,SDL,MM,ncc,Pi,50.328
2018,SDL,NN,ncc,CD,65.398
2018,SDL,NN,ncc,CL,230.536
2018,SDL,NN,ncc,Pi,42.508
2018,SDL,OO,ncc,CD,39.208
2018,SDL,OO,ncc,CL,22.118
2018,SDL,OO,ncc,Pi,55.318
2018,SDL,PP,ncc,CD,69.528
2018,SDL,PP,ncc,CL,107.068
2018,SDL,PP,ncc,Pi,114.198
2018,SDL,UU,ncc,CD,45.588
2019,BOL,1,ncc,CL,53.44
2019,BOL,2,no,CL,99.14
2019,BOL,3,high,CL,65.45
2019,BOL,4,ambient,CL,97.64
2019,BOL,5,cc,CL,90.7
2019,BOL,6,high,CL,90.94
2019,BOL,7,high,CL,82.99
2019,BOL,8,ambient,CL,80.11
2019,BOL,9,cc,CL,57.14
2019,BOL,10,ambient,CL,41.26
2019,BOL,11,ncc,CL,165.67
2019,BOL,12,no,CL,85.36
2019,BOL,13,high,CL,69.21
2019,BOL,14,no,CL,107.75
2019,BOL,15,cc,CL,96.87
2019,BOL,16,no,CL,82.12
2019,BOL,17,ambient,CL,82.42
2019,BOL,18,ncc,CL,69.29
2019,BOL,19,cc,CL,83.42
2019,BOL,20,high,CL,50.57
2019,BOL,21,ambient,CL,37.63
2019,BOL,22,ncc,CL,102.83
2019,BOL,23,no,CL,44.28
2019,BOL,24,ncc,CL,80.45
2019,BOL,25,cc,CL,78.33
2019,BOL,1,ncc,Pi,396.47
2019,BOL,2,no,Pi,532.66
2019,BOL,3,high,Pi,645.1
2019,BOL,4,ambient,Pi,562.75
2019,BOL,5,cc,Pi,347.78
2019,BOL,6,high,Pi,576.5
2019,BOL,7,high,Pi,418.31
2019,BOL,8,ambient,Pi,590.05
2019,BOL,9,cc,Pi,462.28
2019,BOL,10,ambient,Pi,455.49
2019,BOL,11,ncc,Pi,190.45
2019,BOL,12,no,Pi,598.72
2019,BOL,13,high,Pi,474.74
2019,BOL,14,no,Pi,537.53
2019,BOL,15,cc,Pi,585.32
2019,BOL,16,no,Pi,822.69
2019,BOL,17,ambient,Pi,528.39
2019,BOL,18,ncc,Pi,460.73
2019,BOL,19,cc,Pi,578.54
2019,BOL,20,high,Pi,605.59
2019,BOL,21,ambient,Pi,619.1
2019,BOL,22,ncc,Pi,391.14
2019,BOL,23,no,Pi,749.76
2019,BOL,24,ncc,Pi,403.05
2019,BOL,25,cc,Pi,425.9
2019,BOL,1,ncc,CD,9.47
2019,BOL,2,no,CD,10.92
2019,BOL,3,high,CD,13.82
2019,BOL,4,ambient,CD,12.66
2019,BOL,5,cc,CD,23.29
2019,BOL,6,high,CD,21.25
2019,BOL,7,high,CD,16.85
2019,BOL,8,ambient,CD,14.76
2019,BOL,9,cc,CD,11.84
2019,BOL,10,ambient,CD,14.64
2019,BOL,11,ncc,CD,28.61
2019,BOL,12,no,CD,21.53
2019,BOL,13,high,CD,12.63
2019,BOL,14,no,CD,10.79
2019,BOL,15,cc,CD,11
2019,BOL,16,no,CD,11.57
2019,BOL,17,ambient,CD,11.67
