Year,Month,Marsh,Cage,Treatment,Plant,Final.Mass
2018,October,KF1,1,ambient,Cordgrass,10.0566
2018,October,KF1,1,ambient,Pickleweed,9.2161
2018,October,KF1,1,ambient,Other,65.3624
2018,October,KF1,2,ambient,Cordgrass,8.7
2018,October,KF1,2,ambient,Pickleweed,1.8
2018,October,KF1,2,ambient,Other,91.4
2018,October,KF1,3,removal,Cordgrass,10.7
2018,October,KF1,3,removal,Pickleweed,3.1
2018,October,KF1,3,removal,Other,123.4
2018,October,KF1,4,ambient,Cordgrass,6.359
2018,October,KF1,4,ambient,Pickleweed,10.827
2018,October,KF1,4,ambient,Other,119.171
2018,October,KF1,5,removal,Cordgrass,6
2018,October,KF1,5,removal,Pickleweed,5.1
2018,October,KF1,5,removal,Other,91.6
2018,October,KF1,6,removal,Cordgrass,3.3
2018,October,KF1,6,removal,Pickleweed,2.5
2018,October,KF1,6,removal,Other,64.7
2018,October,KF1,7,ambient,Cordgrass,7.475
2018,October,KF1,7,ambient,Pickleweed,3.024
2018,October,KF1,7,ambient,Other,94.731
2018,October,KF1,8,ambient,Cordgrass,4.8
2018,October,KF1,8,ambient,Pickleweed,13.6
2018,October,KF1,8,ambient,Other,93.3
2018,October,KF1,9,removal,Cordgrass,7.3
2018,October,KF1,9,removal,Pickleweed,9.9
2018,October,KF1,9,removal,Other,99.5
2018,October,KF1,10,removal,Cordgrass,7.6792
2018,October,KF1,10,removal,Pickleweed,5.7802
2018,October,KF1,10,removal,Other,98.4382
2018,October,KF1,51,high,Cordgrass,11.9
2018,October,KF1,51,high,Pickleweed,1.9
2018,October,KF1,51,high,Other,89.2
2018,October,KF1,52,high,Cordgrass,11.5
2018,October,KF1,52,high,Pickleweed,1.4
2018,October,KF1,52,high,Other,46.2
2018,October,KF1,53,high,Cordgrass,3.9
2018,October,KF1,53,high,Pickleweed,7.3
2018,October,KF1,53,high,Other,78
2018,October,KF1,54,high,Cordgrass,14.3
2018,October,KF1,54,high,Pickleweed,4.4
2018,October,KF1,54,high,Other,103.5
2018,October,KF1,55,high,Cordgrass,8.6
2018,October,KF1,55,high,Pickleweed,0.5
2018,October,KF1,55,high,Other,135.9
2018,October,KF1,A,cc,Cordgrass,11.3
2018,October,KF1,A,cc,Pickleweed,4
2018,October,KF1,A,cc,Other,90.6
2018,October,KF1,B,cc,Cordgrass,19.22
2018,October,KF1,B,cc,Pickleweed,13.212
2018,October,KF1,B,cc,Other,138.475
2018,October,KF1,K,cc,Cordgrass,17.8
2018,October,KF1,K,cc,Pickleweed,4.4
2018,October,KF1,K,cc,Other,55.5
2018,October,KF1,L,cc,Cordgrass,14.9
2018,October,KF1,L,cc,Pickleweed,1.1
2018,October,KF1,L,cc,Other,84.9
2018,October,KF1,M,cc,Cordgrass,10
2018,October,KF1,M,cc,Pickleweed,11
2018,October,KF1,M,cc,Other,137.8
2018,October,KF1,N,ncc,Cordgrass,14.2
2018,October,KF1,N,ncc,Pickleweed,15.2
2018,October,KF1,N,ncc,Other,64.5
2018,October,KF1,O,ncc,Cordgrass,12.7
2018,October,KF1,O,ncc,Pickleweed,17.6
2018,October,KF1,O,ncc,Other,80.3
2018,October,KF1,P,ncc,Cordgrass,8.6
2018,October,KF1,P,ncc,Pickleweed,6.2
2018,October,KF1,P,ncc,Other,135.8
2018,October,KF1,Q,ncc,Cordgrass,23.5
2018,October,KF1,Q,ncc,Pickleweed,2
2018,October,KF1,Q,ncc,Other,93.8
2018,October,KF1,R,ncc,Cordgrass,11.1
2018,October,KF1,R,ncc,Pickleweed,3.1
2018,October,KF1,R,ncc,Other,113.7
2018,October,KF2,11,ambient,Cordgrass,14.1
2018,October,KF2,11,ambient,Pickleweed,0.5
2018,October,KF2,11,ambient,Other,69.4
2018,October,KF2,12,removal,Cordgrass,3.3
2018,October,KF2,12,removal,Pickleweed,2.8
2018,October,KF2,12,removal,Other,54.2
2018,October,KF2,13,removal,Cordgrass,4
2018,October,KF2,13,removal,Pickleweed,3.7
2018,October,KF2,13,removal,Other,97.5
2018,October,KF2,14,removal,Cordgrass,0
2018,October,KF2,14,removal,Pickleweed,0
2018,October,KF2,14,removal,Other,44
2018,October,KF2,15,ambient,Cordgrass,10.6717
2018,October,KF2,15,ambient,Pickleweed,6.0874
2018,October,KF2,15,ambient,Other,93.3737
2018,October,KF2,16,removal,Cordgrass,15.1208
2018,October,KF2,16,removal,Pickleweed,14.0929
2018,October,KF2,16,removal,Other,91.3983
2018,October,KF2,17,ambient,Cordgrass,7.3
2018,October,KF2,17,ambient,Pickleweed,20.7
2018,October,KF2,17,ambient,Other,73.8
2018,October,KF2,18,removal,Cordgrass,5.4195
2018,October,KF2,18,removal,Pickleweed,26.866
2018,October,KF2,18,removal,Other,72.3455
2018,October,KF2,19,ambient,Cordgrass,3.7
2018,October,KF2,19,ambient,Pickleweed,0.7
2018,October,KF2,19,ambient,Other,74.6
2018,October,KF2,20,ambient,Cordgrass,17.8323
2018,October,KF2,20,ambient,Pickleweed,9.0456
2018,October,KF2,20,ambient,Other,110.2483
2018,October,KF2,56,high,Cordgrass,14.9405
2018,October,KF2,56,high,Pickleweed,0.924
2018,October,KF2,56,high,Other,93.9613
2018,October,KF2,57,high,Cordgrass,12.2
2018,October,KF2,57,high,Pickleweed,0.3
2018,October,KF2,57,high,Other,70.4
2018,October,KF2,58,high,Cordgrass,13.9
2018,October,KF2,58,high,Pickleweed,3.3
2018,October,KF2,58,high,Other,99
2018,October,KF2,59,high,Cordgrass,10.6
2018,October,KF2,59,high,Pickleweed,0.9
2018,October,KF2,59,high,Other,54.5
2018,October,KF2,60,high,Cordgrass,14.3
2018,October,KF2,60,high,Pickleweed,0.6
2018,October,KF2,60,high,Other,119
2018,October,KF2,C,cc,Cordgrass,4.1
2018,October,KF2,C,cc,Pickleweed,0.6
2018,October,KF2,C,cc,Other,80.5
2018,October,KF2,D,cc,Cordgrass,6.4
2018,October,KF2,D,cc,Pickleweed,1.4
2018,October,KF2,D,cc,Other,88.6
2018,October,KF2,S,cc,Cordgrass,9.8
2018,October,KF2,S,cc,Pickleweed,8.7
2018,October,KF2,S,cc,Other,77.3
2018,October,KF2,T,cc,Cordgrass,0
2018,October,KF2,T,cc,Pickleweed,0
2018,October,KF2,T,cc,Other,43.1
2018,October,KF2,U,cc,Cordgrass,15.2
2018,October,KF2,U,cc,Pickleweed,0.8
2018,October,KF2,U,cc,Other,37.8
2018,October,KF2,V,ncc,Cordgrass,15.1
2018,October,KF2,V,ncc,Pickleweed,2.1
2018,October,KF2,V,ncc,Other,81.5
2018,October,KF2,W,ncc,Cordgrass,15.8
2018,October,KF2,W,ncc,Pickleweed,1.6
2018,October,KF2,W,ncc,Other,61.3
2018,October,KF2,X,ncc,Cordgrass,15.2
2018,October,KF2,X,ncc,Pickleweed,1
2018,October,KF2,X,ncc,Other,74.1
2018,October,KF2,Y,ncc,Cordgrass,9.5
2018,October,KF2,Y,ncc,Pickleweed,0
2018,October,KF2,Y,ncc,Other,83.3
2018,October,KF2,Z,ncc,Cordgrass,0
2018,October,KF2,Z,ncc,Pickleweed,0
2018,October,KF2,Z,ncc,Other,39.7
2018,October,SDL,31,ambient,Cordgrass,4.8
2018,October,SDL,31,ambient,Pickleweed,1.5
2018,October,SDL,31,ambient,Other,25.5
2018,October,SDL,32,removal,Cordgrass,6.5
2018,October,SDL,32,removal,Pickleweed,1.5
2018,October,SDL,32,removal,Other,16.5
2018,October,SDL,33,removal,Cordgrass,4.0746
2018,October,SDL,33,removal,Pickleweed,5.1766
2018,October,SDL,33,removal,Other,9.0463
2018,October,SDL,34,ambient,Cordgrass,4.4
2018,October,SDL,34,ambient,Pickleweed,0.3
2018,October,SDL,34,ambient,Other,6.4
2018,October,SDL,35,ambient,Cordgrass,3.2
2018,October,SDL,35,ambient,Pickleweed,2.3
2018,October,SDL,35,ambient,Other,10.9
2018,October,SDL,36,removal,Cordgrass,17.5
2018,October,SDL,36,removal,Pickleweed,0.8
2018,October,SDL,36,removal,Other,15
2018,October,SDL,37,ambient,Cordgrass,9.4
2018,October,SDL,37,ambient,Pickleweed,1.2
2018,October,SDL,37,ambient,Other,15.8
2018,October,SDL,38,removal,Cordgrass,1.4
2018,October,SDL,38,removal,Pickleweed,5.4
2018,October,SDL,38,removal,Other,8.4
2018,October,SDL,39,ambient,Cordgrass,1.4365
2018,October,SDL,39,ambient,Pickleweed,0.313
2018,October,SDL,39,ambient,Other,8.2245
2018,October,SDL,40,removal,Cordgrass,2
2018,October,SDL,40,removal,Pickleweed,0.6
2018,October,SDL,40,removal,Other,5.8
2018,October,SDL,61,high,Cordgrass,8.8
2018,October,SDL,61,high,Pickleweed,1.1
2018,October,SDL,61,high,Other,21.9
2018,October,SDL,62,high,Cordgrass,3.4
2018,October,SDL,62,high,Pickleweed,0.1
2018,October,SDL,62,high,Other,9.9
2018,October,SDL,63,high,Cordgrass,2.8
2018,October,SDL,63,high,Pickleweed,1
2018,October,SDL,63,high,Other,13.1
2018,October,SDL,64,high,Cordgrass,11.8
2018,October,SDL,64,high,Pickleweed,2.5
2018,October,SDL,64,high,Other,14.7
2018,October,SDL,65,high,Cordgrass,4.2
2018,October,SDL,65,high,Pickleweed,1.6
2018,October,SDL,65,high,Other,20.7
2018,October,SDL,G,cc,Cordgrass,6.7
2018,October,SDL,G,cc,Pickleweed,2.7
2018,October,SDL,G,cc,Other,33.9
2018,October,SDL,H,cc,Cordgrass,4.6
2018,October,SDL,H,cc,Pickleweed,2.1
2018,October,SDL,H,cc,Other,5.6
2018,October,SDL,II,cc,Cordgrass,15.5
2018,October,SDL,II,cc,Pickleweed,1.9
2018,October,SDL,II,cc,Other,29.1
2018,October,SDL,JJ,cc,Cordgrass,10
2018,October,SDL,JJ,cc,Pickleweed,6.1
2018,October,SDL,JJ,cc,Other,11.6
2018,October,SDL,KK,cc,Cordgrass,15.8
2018,October,SDL,KK,cc,Pickleweed,0.4
2018,October,SDL,KK,cc,Other,9.5
2018,October,SDL,LL,cc,Cordgrass,10.2
2018,October,SDL,LL,cc,Pickleweed,2.8
2018,October,SDL,LL,cc,Other,24.2
2018,October,SDL,MM,ncc,Cordgrass,18
2018,October,SDL,MM,ncc,Pickleweed,2.1
2018,October,SDL,MM,ncc,Other,13.5
2018,October,SDL,NN,ncc,Cordgrass,13.2
2018,October,SDL,NN,ncc,Pickleweed,2.2
2018,October,SDL,NN,ncc,Other,8.4
2018,October,SDL,OO,ncc,Cordgrass,3.6
2018,October,SDL,OO,ncc,Pickleweed,1.4
2018,October,SDL,OO,ncc,Other,16.2
2018,October,SDL,PP,ncc,Cordgrass,4.5718
2018,October,SDL,PP,ncc,Pickleweed,1.1313
2019,September,BOL,1,ncc,Cordgrass,20.16
2019,September,BOL,2,no,Cordgrass,26.03
2019,September,BOL,3,high,Cordgrass,18.21
2019,September,BOL,4,ambient,Cordgrass,14.49
2019,September,BOL,5,cc,Cordgrass,19.26
2019,September,BOL,6,high,Cordgrass,28.38
2019,September,BOL,7,high,Cordgrass,0
2019,September,BOL,8,ambient,Cordgrass,17.84
2019,September,BOL,9,cc,Cordgrass,21.05
2019,September,BOL,10,ambient,Cordgrass,12.43
2019,September,BOL,11,ncc,Cordgrass,21.95
2019,September,BOL,12,no,Cordgrass,17.76
2019,September,BOL,13,high,Cordgrass,19.26
2019,September,BOL,14,no,Cordgrass,11.98
2019,September,BOL,15,cc,Cordgrass,13.26
2019,September,BOL,16,no,Cordgrass,13.37
2019,September,BOL,17,ambient,Cordgrass,17.91
2019,September,BOL,18,ncc,Cordgrass,18.94
2019,September,BOL,19,cc,Cordgrass,16.34
2019,September,BOL,20,high,Cordgrass,9.26
2019,September,BOL,21,ambient,Cordgrass,11.07
2019,September,BOL,22,ncc,Cordgrass,20.64
2019,September,BOL,23,no,Cordgrass,15.15
2019,September,BOL,24,ncc,Cordgrass,16.5
2019,September,BOL,25,cc,Cordgrass,24.32
2019,September,BOL,1,ncc,Pickleweed,65.39
2019,September,BOL,2,no,Pickleweed,25.54
2019,September,BOL,3,high,Pickleweed,15.62
2019,September,BOL,4,ambient,Pickleweed,25.45
2019,September,BOL,5,cc,Pickleweed,21.61
2019,September,BOL,6,high,Pickleweed,20.11
2019,September,BOL,7,high,Pickleweed,20.47
2019,September,BOL,8,ambient,Pickleweed,23.91
2019,September,BOL,9,cc,Pickleweed,11.18
2019,September,BOL,10,ambient,Pickleweed,29.56
2019,September,BOL,11,ncc,Pickleweed,24.17
2019,September,BOL,12,no,Pickleweed,17.55
2019,September,BOL,13,high,Pickleweed,18.69
2019,September,BOL,14,no,Pickleweed,18.81
2019,September,BOL,15,cc,Pickleweed,19.49
2019,September,BOL,16,no,Pickleweed,25.91
