Year,Month,Day,Marsh,Zone,Cage,Treatment,Burrows,Pachy,Hemi,Fiddler,Green,Pitfall,Pitfall-F,Pitfall-P,Pitfall-G,Pitfall-H
2018,October,3,BOD,reg,26,no,3,0,0,0,0,0,NA,NA,NA,NA
2018,October,3,BOD,reg,27,high,9,0,0,0,0,NA,NA,NA,NA,NA
2018,October,3,BOD,reg,28,ambient,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
2018,October,3,BOD,reg,29,ncc,0,0,0,0,0,NA,NA,NA,NA,NA
2018,October,3,BOD,reg,30,cc,10,3,0,0,3,NA,NA,NA,NA,NA
2018,October,3,BOD,reg,31,high,14,1,0,0,0,NA,NA,NA,NA,NA
2018,October,3,BOD,reg,32,no,0,0,0,0,0,0,NA,NA,NA,NA
2018,October,3,BOD,reg,33,ambient,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
2018,October,3,BOD,reg,34,cc,6,1,0,0,0,NA,NA,NA,NA,NA
2018,October,3,BOD,reg,35,ncc,10,0,0,0,0,NA,NA,NA,NA,NA
2018,October,3,BOD,reg,36,high,7,1,0,0,2,NA,NA,NA,NA,NA
2018,October,3,BOD,reg,37,no,0,0,0,0,0,0,NA,NA,NA,NA
2018,October,3,BOD,reg,38,ncc,8,0,0,0,0,NA,NA,NA,NA,NA
2018,October,3,BOD,reg,39,ambient,15,0,0,0,0,NA,NA,NA,NA,NA
2018,October,3,BOD,reg,40,ncc,3,0,0,0,0,NA,NA,NA,NA,NA
2018,October,3,BOD,reg,41,cc,12,5,0,0,0,NA,NA,NA,NA,NA
2018,October,3,BOD,reg,42,no,3,0,1,0,0,0,NA,NA,NA,NA
2018,October,3,BOD,reg,43,high,26,0,0,0,0,NA,NA,NA,NA,NA
2018,October,3,BOD,reg,44,ambient,16,0,0,0,0,NA,NA,NA,NA,NA
2018,October,3,BOD,reg,45,cc,11,6,0,0,0,NA,NA,NA,NA,NA
2018,October,3,BOD,reg,46,ambient,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
2018,October,3,BOD,reg,47,high,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
2018,October,3,BOD,reg,48,cc,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
2018,October,3,BOD,reg,49,no,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
2018,October,3,BOD,reg,50,cc,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
2018,June,6,BOD,reg,26,no,2,0,0,0,0,NA,NA,NA,NA,NA
2018,June,6,BOD,reg,27,high,17,0,0,0,0,NA,NA,NA,NA,NA
2018,June,6,BOD,reg,28,ambient,15,0,0,0,0,NA,NA,NA,NA,NA
2018,June,6,BOD,reg,29,ncc,0,0,0,0,0,NA,NA,NA,NA,NA
2018,June,6,BOD,reg,30,cc,13,0,0,0,0,NA,NA,NA,NA,NA
2018,June,6,BOD,reg,31,high,18,0,0,0,0,NA,NA,NA,NA,NA
2018,June,6,BOD,reg,32,no,3,1,0,0,0,NA,NA,NA,NA,NA
2018,June,6,BOD,reg,33,ambient,12,1,0,0,0,NA,NA,NA,NA,NA
2018,June,6,BOD,reg,34,cc,14,0,0,0,0,NA,NA,NA,NA,NA
2018,June,6,BOD,reg,35,ncc,10,0,0,0,0,NA,NA,NA,NA,NA
