Year,Month,Date,Marsh,Zone,Cage,Treatment,CordgrassHeight
2016,April,26,KF1,reg,1,ambient,24.6
2016,April,26,KF1,reg,1,ambient,30.2
2016,April,26,KF1,reg,1,ambient,33
2016,April,26,KF1,reg,1,ambient,33.6
2016,April,26,KF1,reg,1,ambient,33.9
2016,April,26,KF1,reg,1,ambient,35.1
2016,April,26,KF1,reg,1,ambient,35.8
2016,April,26,KF1,reg,1,ambient,39.8
2016,April,26,KF1,reg,1,ambient,40.1
2016,April,26,KF1,reg,1,ambient,40.2
2016,April,26,KF1,reg,1,ambient,40.4
2016,April,26,KF1,reg,1,ambient,42.3
2016,April,26,KF1,reg,1,ambient,42.4
2016,April,26,KF1,reg,1,ambient,43.6
2016,April,26,KF1,reg,1,ambient,45.6
2016,April,26,KF1,reg,1,ambient,46
2016,April,26,KF1,reg,1,ambient,46.2
2016,April,26,KF1,reg,1,ambient,48.5
2016,April,26,KF1,reg,1,ambient,50.3
2016,April,26,KF1,reg,1,ambient,54.7
2016,April,26,KF1,reg,2,ambient,27.4
2016,April,26,KF1,reg,2,ambient,27.9
2016,April,26,KF1,reg,2,ambient,31.1
2016,April,26,KF1,reg,2,ambient,31.2
2016,April,26,KF1,reg,2,ambient,32.6
2016,April,26,KF1,reg,2,ambient,32.8
2016,April,26,KF1,reg,2,ambient,37.4
2016,April,26,KF1,reg,2,ambient,37.4
2016,April,26,KF1,reg,2,ambient,39.7
2016,April,26,KF1,reg,2,ambient,40.3
2016,April,26,KF1,reg,2,ambient,40.6
2016,April,26,KF1,reg,2,ambient,40.9
2016,April,26,KF1,reg,2,ambient,41.1
2016,April,26,KF1,reg,2,ambient,42.3
2016,April,26,KF1,reg,2,ambient,43
2016,April,26,KF1,reg,2,ambient,44.5
2016,April,26,KF1,reg,2,ambient,46.3
2016,April,26,KF1,reg,2,ambient,48.8
2016,April,26,KF1,reg,2,ambient,49.4
2016,April,26,KF1,reg,2,ambient,57.6
2016,April,26,KF1,reg,3,no,28.3
2016,April,26,KF1,reg,3,no,29.1
2016,April,26,KF1,reg,3,no,31.1
2016,April,26,KF1,reg,3,no,31.3
2016,April,26,KF1,reg,3,no,31.5
2016,April,26,KF1,reg,3,no,32.7
2016,April,26,KF1,reg,3,no,33.2
2016,April,26,KF1,reg,3,no,33.6
2016,April,26,KF1,reg,3,no,37.7
2016,April,26,KF1,reg,3,no,37.9
2016,April,26,KF1,reg,3,no,38.6
2016,April,26,KF1,reg,3,no,39.1
2016,April,26,KF1,reg,3,no,39.2
2016,April,26,KF1,reg,3,no,39.4
2016,April,26,KF1,reg,3,no,40.6
2016,April,26,KF1,reg,3,no,43.6
2016,April,26,KF1,reg,3,no,45.5
2016,April,26,KF1,reg,3,no,47.3
2016,April,26,KF1,reg,3,no,50.6
2016,April,26,KF1,reg,3,no,62.3
2016,April,26,KF1,reg,4,ambient,8.5
2016,April,26,KF1,reg,4,ambient,9
2016,April,26,KF1,reg,4,ambient,14.6
2016,April,26,KF1,reg,4,ambient,14.9
2016,April,26,KF1,reg,4,ambient,16.1
2016,April,26,KF1,reg,4,ambient,18.5
2016,April,26,KF1,reg,4,ambient,19.2
2016,April,26,KF1,reg,4,ambient,20.4
2016,April,26,KF1,reg,4,ambient,21
2016,April,26,KF1,reg,4,ambient,25.6
2016,April,26,KF1,reg,4,ambient,28.6
2016,April,26,KF1,reg,4,ambient,28.6
2016,April,26,KF1,reg,4,ambient,31
2016,April,26,KF1,reg,4,ambient,32.2
2016,April,26,KF1,reg,4,ambient,32.8
2016,April,26,KF1,reg,4,ambient,37.4
2016,April,26,KF1,reg,4,ambient,38.8
2016,April,26,KF1,reg,4,ambient,42.3
2016,April,26,KF1,reg,4,ambient,43.2
2016,April,26,KF1,reg,4,ambient,44.3
2016,April,26,KF1,reg,5,no,14
2016,April,26,KF1,reg,5,no,14.3
2016,April,26,KF1,reg,5,no,16.1
