Sample.ID,Year,Month,Marsh,Cage,Treatment,Plant,Amount.mg,TotalC.ug,TotalN.ug,ratio
BOL-2-CL-2019-1,2019,September,BOL,2,no,Cordgrass,9,2796.91,150.99,18.52412266
BOL-2-CL-2019-2,2019,September,BOL,2,no,Cordgrass,2.6,872.19,44.13,19.76501159
BOL-2-CL-2019-3,2019,September,BOL,2,no,Cordgrass,6.6,1944.85,101.77,19.11072872
BOL-4-CL-2019-1,2019,September,BOL,4,ambient,Cordgrass,6.2,1958.75,97.73,20.04267897
BOL-4-CL-2019-2,2019,September,BOL,4,ambient,Cordgrass,7.5,2512.67,124.47,20.18717383
BOL-4-CL-2019-3,2019,September,BOL,4,ambient,Cordgrass,4,1343.71,76.88,17.47878042
BOL-8-CL-2019-1,2019,September,BOL,8,ambient,Cordgrass,3.4,1043.35,45.28,23.03997547
BOL-8-CL-2019-2,2019,September,BOL,8,ambient,Cordgrass,6.4,2264.27,90.93,24.90087034
BOL-8-CL-2019-3,2019,September,BOL,8,ambient,Cordgrass,4.5,1522.86,57.09,26.67578995
BOL-10-CL-2019-1,2019,September,BOL,10,ambient,Cordgrass,5.6,1731.41,91.72,18.87736145
BOL-10-CL-2019-2,2019,September,BOL,10,ambient,Cordgrass,5.9,1946.47,82.15,23.69350086
BOL-10-CL-2019-3,2019,September,BOL,10,ambient,Cordgrass,7.4,2634.45,113.04,23.30497218
BOL-12-CL-2019-1,2019,September,BOL,12,no,Cordgrass,5.9,1879.5,89.5,21.00013912
BOL-12-CL-2019-2,2019,September,BOL,12,no,Cordgrass,5.8,1749.58,81.15,21.56043969
BOL-12-CL-2019-3,2019,September,BOL,12,no,Cordgrass,7.4,2486.04,95.87,25.93142954
BOL-14-CL-2019-1,2019,September,BOL,14,no,Cordgrass,7.1,2335.7,114.57,20.38586947
BOL-14-CL-2019-2,2019,September,BOL,14,no,Cordgrass,3.8,1255.59,60.44,20.77439288
BOL-14-CL-2019-3,2019,September,BOL,14,no,Cordgrass,5.2,1616.17,77.74,20.78989412
BOL-16-CL-2019-1,2019,September,BOL,16,no,Cordgrass,4.1,1319.24,51.21,25.76258385
BOL-16-CL-2019-2,2019,September,BOL,16,no,Cordgrass,4.5,1417.05,62.02,22.84666066
BOL-16-CL-2019-3,2019,September,BOL,16,no,Cordgrass,6.5,2100.87,99.91,21.02774432
BOL-17-CL-2019-1,2019,September,BOL,17,ambient,Cordgrass,5.6,1836.43,81.51,22.53116887
BOL-17-CL-2019-2,2019,September,BOL,17,ambient,Cordgrass,4.8,1591.15,67.32,23.63698656
BOL-17-CL-2019-3,2019,September,BOL,17,ambient,Cordgrass,5.2,1659.69,68.07,24.3816103
BOL-21-CL-2019-1,2019,September,BOL,21,ambient,Cordgrass,6.4,1936.44,96.33,20.10119635
BOL-21-CL-2019-2,2019,September,BOL,21,ambient,Cordgrass,3.4,1169.01,48.64,24.03177609
BOL-21-CL-2019-3,2019,September,BOL,21,ambient,Cordgrass,5.3,1796.58,76.8,23.39155834
BOL-23-CL-2019-1,2019,September,BOL,23,no,Cordgrass,3.8,1252,65.12,19.22581476
BOL-23-CL-2019-2,2019,September,BOL,23,no,Cordgrass,4.3,1431.06,70.66,20.2525668
BOL-23-CL-2019-3,2019,September,BOL,23,no,Cordgrass,6.3,1981.06,104.41,18.97382748
BOL-2-P-2019-1,2019,September,BOL,2,no,Pickleweed,7.8,2198.57,109.48,20.0824676
BOL-2-P-2019-2,2019,September,BOL,2,no,Pickleweed,7.5,2180.85,105.73,20.62639328
BOL-2-P-2019-3,2019,September,BOL,2,no,Pickleweed,8.2,2410.27,109.37,22.03770448
