Year,Month,Day,Marsh,Zone,Cage,Treatment,Nitrate,Ammonium,Salinity,UV
2016,April,26,KF1,reg,1,ambient,NA,NA,NA,NA
2016,April,26,KF1,reg,2,ambient,NA,NA,NA,NA
2016,April,26,KF1,reg,3,no,NA,NA,NA,NA
2016,April,26,KF1,reg,4,ambient,NA,NA,NA,NA
2016,April,26,KF1,reg,5,no,NA,NA,NA,NA
2016,April,26,KF1,reg,6,no,NA,NA,NA,NA
2016,April,26,KF1,reg,7,ambient,NA,NA,NA,NA
2016,April,26,KF1,reg,8,ambient,NA,NA,NA,NA
2016,April,26,KF1,reg,9,no,NA,NA,NA,NA
2016,April,26,KF1,reg,10,no,NA,NA,NA,NA
2016,April,26,KF1,reg,A,cc,NA,NA,NA,NA
2016,April,26,KF1,reg,B,cc,NA,NA,NA,NA
2016,April,26,KF2,reg,11,ambient,NA,NA,NA,NA
2016,April,26,KF2,reg,12,no,NA,NA,NA,NA
2016,April,26,KF2,reg,13,no,NA,NA,NA,NA
2016,April,26,KF2,reg,14,no,NA,NA,NA,NA
2016,April,26,KF2,reg,15,ambient,NA,NA,NA,NA
2016,April,26,KF2,reg,16,no,NA,NA,NA,NA
2016,April,26,KF2,reg,17,ambient,NA,NA,NA,NA
2016,April,26,KF2,reg,18,no,NA,NA,NA,NA
2016,April,26,KF2,reg,19,ambient,NA,NA,NA,NA
2016,April,26,KF2,reg,20,ambient,NA,NA,NA,NA
2016,April,26,KF2,reg,C,cc,NA,NA,NA,NA
2016,April,26,KF2,reg,D,cc,NA,NA,NA,NA
2016,May,25,KF1,reg,1,ambient,NA,NA,NA,NA
2016,May,25,KF1,reg,2,ambient,NA,NA,NA,NA
2016,May,25,KF1,reg,3,no,NA,NA,NA,NA
2016,May,25,KF1,reg,4,ambient,NA,NA,NA,NA
2016,May,25,KF1,reg,5,no,NA,NA,NA,NA
2016,May,25,KF1,reg,6,no,NA,NA,NA,NA
2016,May,25,KF1,reg,7,ambient,NA,NA,NA,NA
2016,May,25,KF1,reg,8,ambient,NA,NA,NA,NA
2016,May,25,KF1,reg,9,no,NA,NA,NA,NA
2016,May,25,KF1,reg,10,no,NA,NA,NA,NA
2016,May,25,KF1,reg,A,cc,NA,NA,NA,NA
2016,May,25,KF1,reg,B,cc,NA,NA,NA,NA
2016,May,25,KF2,reg,11,ambient,NA,NA,NA,NA
2016,May,25,KF2,reg,12,no,NA,NA,NA,NA
2016,May,25,KF2,reg,13,no,NA,NA,NA,NA
2016,May,25,KF2,reg,14,no,NA,NA,NA,NA
2016,May,25,KF2,reg,15,ambient,NA,NA,NA,NA
2016,May,25,KF2,reg,16,no,NA,NA,NA,NA
2016,May,25,KF2,reg,17,ambient,NA,NA,NA,NA
2016,May,25,KF2,reg,18,no,NA,NA,NA,NA
2016,May,25,KF2,reg,19,ambient,NA,NA,NA,NA
2016,May,25,KF2,reg,20,ambient,NA,NA,NA,NA
2016,May,25,KF2,reg,C,cc,NA,NA,NA,NA
2016,May,25,KF2,reg,D,cc,NA,NA,NA,NA
2016,May,13,SDL,hi,21,no,NA,NA,NA,NA
2016,May,13,SDL,hi,22,no,NA,NA,NA,NA
2016,May,13,SDL,hi,23,ambient,NA,NA,NA,NA
2016,May,13,SDL,hi,24,no,NA,NA,NA,NA
2016,May,13,SDL,hi,25,ambient,NA,NA,NA,NA
2016,May,13,SDL,hi,26,ambient,NA,NA,NA,NA
2016,May,13,SDL,hi,27,no,NA,NA,NA,NA
2016,May,13,SDL,hi,28,no,NA,NA,NA,NA
2016,May,13,SDL,hi,29,ambient,NA,NA,NA,NA
2016,May,13,SDL,hi,30,ambient,NA,NA,NA,NA
2016,May,13,SDL,mid,31,ambient,NA,NA,NA,NA
2016,May,13,SDL,mid,32,no,NA,NA,NA,NA
2016,May,13,SDL,mid,33,no,NA,NA,NA,NA
2016,May,13,SDL,mid,34,ambient,NA,NA,NA,NA
2016,May,13,SDL,mid,35,ambient,NA,NA,NA,NA
2016,May,13,SDL,mid,36,no,NA,NA,NA,NA
2016,May,13,SDL,mid,37,ambient,NA,NA,NA,NA
2016,May,13,SDL,mid,38,no,NA,NA,NA,NA
2016,May,13,SDL,mid,39,ambient,NA,NA,NA,NA
2016,May,13,SDL,mid,40,no,NA,NA,NA,NA
2016,May,13,SDL,lo,41,no,NA,NA,NA,NA
2016,May,13,SDL,lo,42,no,NA,NA,NA,NA
2016,May,13,SDL,lo,43,ambient,NA,NA,NA,NA
2016,May,13,SDL,lo,44,ambient,NA,NA,NA,NA
2016,May,13,SDL,lo,45,ambient,NA,NA,NA,NA
2016,May,13,SDL,lo,46,no,NA,NA,NA,NA
2016,May,13,SDL,lo,47,ambient,NA,NA,NA,NA
2016,May,13,SDL,lo,48,no,NA,NA,NA,NA
2016,May,13,SDL,lo,49,no,NA,NA,NA,NA
2016,May,13,SDL,lo,50,ambient,NA,NA,NA,NA
2016,May,13,SDL,hi,E,cc,NA,NA,NA,NA
2016,May,13,SDL,hi,F,cc,NA,NA,NA,NA
2016,May,13,SDL,mid,G,cc,NA,NA,NA,NA
2016,May,13,SDL,mid,H,cc,NA,NA,NA,NA
2016,May,13,SDL,lo,I,cc,NA,NA,NA,NA
2016,May,13,SDL,lo,J,cc,NA,NA,NA,NA
2016,June,23,KF1,reg,1,ambient,NA,NA,NA,NA
2016,June,23,KF1,reg,2,ambient,NA,NA,NA,NA
2016,June,23,KF1,reg,3,no,NA,NA,NA,NA
2016,June,23,KF1,reg,4,ambient,NA,NA,NA,NA
2016,June,23,KF1,reg,5,no,NA,NA,NA,NA
2016,June,23,KF1,reg,6,no,NA,NA,NA,NA
2016,June,23,KF1,reg,7,ambient,NA,NA,NA,NA
2016,June,23,KF1,reg,8,ambient,NA,NA,NA,NA
2016,June,23,KF1,reg,9,no,NA,NA,NA,NA
2016,June,23,KF1,reg,10,no,NA,NA,NA,NA
2016,June,23,KF1,reg,A,cc,NA,NA,NA,NA
2016,June,23,KF1,reg,B,cc,NA,NA,NA,NA
2016,June,23,KF2,reg,11,ambient,NA,NA,NA,NA
2016,June,23,KF2,reg,12,no,NA,NA,NA,NA
2016,June,23,KF2,reg,13,no,NA,NA,NA,NA
2016,June,23,KF2,reg,14,no,NA,NA,NA,NA
2016,June,23,KF2,reg,15,ambient,NA,NA,NA,NA
2016,June,23,KF2,reg,16,no,NA,NA,NA,NA
2016,June,23,KF2,reg,17,ambient,NA,NA,NA,NA
2016,June,23,KF2,reg,18,no,NA,NA,NA,NA
2016,June,23,KF2,reg,19,ambient,NA,NA,NA,NA
2016,June,23,KF2,reg,20,ambient,NA,NA,NA,NA
2016,June,23,KF2,reg,C,cc,NA,NA,NA,NA
2016,June,23,KF2,reg,D,cc,NA,NA,NA,NA
2016,June,7,SDL,hi,21,no,NA,NA,NA,NA
2016,June,7,SDL,hi,22,no,NA,NA,NA,NA
2016,June,7,SDL,hi,23,ambient,NA,NA,NA,NA
2016,June,7,SDL,hi,24,no,NA,NA,NA,NA
2016,June,7,SDL,hi,25,ambient,NA,NA,NA,NA
2016,June,7,SDL,hi,26,ambient,NA,NA,NA,NA
2016,June,7,SDL,hi,27,no,NA,NA,NA,NA
2016,June,7,SDL,hi,28,no,NA,NA,NA,NA
2016,June,7,SDL,hi,29,ambient,NA,NA,NA,NA
2016,June,7,SDL,hi,30,ambient,NA,NA,NA,NA
2016,June,7,SDL,mid,31,ambient,NA,NA,NA,NA
2016,June,7,SDL,mid,32,no,NA,NA,NA,NA
2016,June,7,SDL,mid,33,no,NA,NA,NA,NA
2016,June,7,SDL,mid,34,ambient,NA,NA,NA,NA
2016,June,7,SDL,mid,35,ambient,NA,NA,NA,NA
2016,June,7,SDL,mid,36,no,NA,NA,NA,NA
2016,June,7,SDL,mid,37,ambient,NA,NA,NA,NA
2016,June,7,SDL,mid,38,no,NA,NA,NA,NA
2016,June,7,SDL,mid,39,ambient,NA,NA,NA,NA
2016,June,7,SDL,mid,40,no,NA,NA,NA,NA
2016,June,7,SDL,lo,41,no,NA,NA,NA,NA
2016,June,7,SDL,lo,42,no,NA,NA,NA,NA
2016,June,7,SDL,lo,43,ambient,NA,NA,NA,NA
2016,June,7,SDL,lo,44,ambient,NA,NA,NA,NA
2016,June,7,SDL,lo,45,ambient,NA,NA,NA,NA
2016,June,7,SDL,lo,46,no,NA,NA,NA,NA
2016,June,7,SDL,lo,47,ambient,NA,NA,NA,NA
2016,June,7,SDL,lo,48,no,NA,NA,NA,NA
2016,June,7,SDL,lo,49,no,NA,NA,NA,NA
2016,June,7,SDL,lo,50,ambient,NA,NA,NA,NA
2016,June,7,SDL,hi,E,cc,NA,NA,NA,NA
2016,June,7,SDL,hi,F,cc,NA,NA,NA,NA
2016,June,7,SDL,mid,G,cc,NA,NA,NA,NA
2016,June,7,SDL,mid,H,cc,NA,NA,NA,NA
2016,June,7,SDL,lo,I,cc,NA,NA,NA,NA
2016,June,7,SDL,lo,J,cc,NA,NA,NA,NA
2016,July,21,KF1,reg,1,ambient,1.765,23.575,41,0.8315
2016,July,21,KF1,reg,2,ambient,1.621,60.648,41,0.423
2016,July,21,KF1,reg,3,no,1.642,76.776,40,1.207
2016,July,21,KF1,reg,4,ambient,1.96,168.273,38,-0.2285
2016,July,21,KF1,reg,5,no,1.355,326.272,42,1.316
2016,July,21,KF1,reg,6,no,1.621,10.733,35,0.646
2016,July,21,KF1,reg,7,ambient,1.293,177.752,40,0.6845
2016,July,21,KF1,reg,8,ambient,2.104,84.038,38,0.9765
2016,July,21,KF1,reg,9,no,1.837,85.108,41,0.925
2016,July,21,KF1,reg,10,no,1.663,14.861,40,0.925
2016,July,21,KF1,reg,A,cc,NA,NA,NA,NA
2016,July,21,KF1,reg,B,cc,NA,NA,NA,NA
2016,July,21,KF2,reg,11,ambient,1.611,19.753,37,0.591
2016,July,21,KF2,reg,12,no,1.591,54.38,36,0.79
2016,July,21,KF2,reg,13,no,1.56,34.735,43,0.892
2016,July,21,KF2,reg,14,no,2.956,120.652,40,0.508
2016,July,21,KF2,reg,15,ambient,1.652,45.131,41,0.529
2016,July,21,KF2,reg,16,no,2.854,17.919,39,0.579
2016,July,21,KF2,reg,17,ambient,2.751,21.741,37,0.6375
2016,July,21,KF2,reg,18,no,1.611,15.243,40,0.469
2016,July,21,KF2,reg,19,ambient,2.094,8.746,41,0.567
2016,July,21,KF2,reg,20,ambient,2.833,75.324,40,0.668
2016,July,21,KF2,reg,C,cc,NA,NA,NA,NA
2016,July,21,KF2,reg,D,cc,NA,NA,NA,NA
2016,July,6,SDL,hi,21,no,0.32,33.804,NA,1.225
2016,July,6,SDL,hi,22,no,0.963,127.606,NA,1.598
2016,July,6,SDL,hi,23,ambient,-0.113,46.568,NA,1.4245
2016,July,6,SDL,hi,24,no,1.878,-5.777,NA,0.9705
2016,July,6,SDL,hi,25,ambient,-0.314,21.258,NA,1.3685
2016,July,6,SDL,hi,26,ambient,-0.868,1.856,NA,1.1425
2016,July,6,SDL,hi,27,no,-0.244,2.585,NA,1.1485
2016,July,6,SDL,hi,28,no,-0.536,-5.293,NA,1.1045
2016,July,6,SDL,hi,29,ambient,-1.129,-2.229,NA,1.114
2016,July,6,SDL,hi,30,ambient,-0.616,9.441,NA,1.057
2016,July,6,SDL,mid,31,ambient,-0.455,-6.46,46,1.0155
2016,July,6,SDL,mid,32,no,-0.677,11.265,46,1.094
2016,July,6,SDL,mid,33,no,-0.335,1.199,52,1.099
