Year,Month,Region,Site,Trial,Replicate,Crab
2018,June,North,BOD,1,1A,30.69
2018,June,North,BOD,1,2A,24.76
2018,June,North,BOD,1,3A,14.26
2018,June,North,BOD,1,4A,12.75
2018,June,North,BOD,1,5A,21.7
2018,June,North,BOD,1,6A,13.29
2018,June,North,BOD,1,7A,11.74
2018,June,North,BOD,1,8A,10.37
2018,June,North,BOD,1,9A,29.66
2018,June,North,BOD,1,10A,30.41
2018,June,North,BOD,1,11A,12
2018,June,North,BOD,1,12A,12.52
2018,June,North,BOD,1,13A,13.9
2018,June,North,BOD,1,14A,18.02
2018,June,North,BOD,1,15A,21.97
2018,June,North,BOD,1,16A,16.49
2018,June,North,BOD,1,17A,21.08
2018,June,North,BOD,1,18A,19.2
2018,June,North,BOD,1,19A,13.51
2018,June,North,BOD,1,20A,20.29
2018,July,North,TOM,2,1B,22.54
2018,July,North,TOM,2,2B,18.55
2018,July,North,TOM,2,3B,21.45
2018,July,North,TOM,2,4B,17.73
2018,July,North,TOM,2,5B,20.4
2018,July,North,TOM,2,6B,27.43
2018,July,North,TOM,2,7B,23.9
2018,July,North,TOM,2,8B,21.19
2018,July,North,TOM,2,9B,18.26
2018,July,North,TOM,2,10B,18.2
2018,July,North,TOM,2,11B,23.71
2018,July,North,TOM,2,12B,19.32
2018,July,North,TOM,2,13B,17.41
2018,July,North,TOM,2,14B,20.61
2018,July,North,TOM,2,15B,14.31
2018,July,North,TOM,2,16B,16.12
2018,July,North,TOM,2,17B,13.49
2018,July,North,TOM,2,18B,13.61
2018,July,North,TOM,2,19B,11.76
2018,July,North,TOM,2,20B,21.71
2018,July,North,BOL,3,1A,13.65
2018,July,North,BOL,3,2A,14.68
2018,July,North,BOL,3,3A,13.86
2018,July,North,BOL,3,4A,26.04
2018,July,North,BOL,3,5A,12.43
2018,July,North,BOL,3,6A,11.21
2018,July,North,BOL,3,7A,17.81
2018,July,North,BOL,3,8A,10.15
2018,July,North,BOL,3,9A,13.45
2018,July,North,BOL,3,10A,10.86
2018,July,North,BOL,3,11A,20.66
2018,July,North,BOL,3,12A,18.67
2018,July,North,BOL,3,13A,15.13
2018,July,North,BOL,3,14A,17.85
2018,July,North,BOL,3,15A,13.33
2018,July,North,BOL,3,16A,21.15
2018,July,North,BOL,3,17A,14.33
2018,July,North,BOL,3,18A,14.24
2018,July,North,BOL,3,19A,14.06
2018,July,North,BOL,3,20A,11.48
2018,July,South,SDL,4,41A,16.12
2018,July,South,SDL,4,42A,8.31
2018,July,South,SDL,4,43A,9.77
2018,July,South,SDL,4,44A,10.76
2018,July,South,SDL,4,45A,29.56
2018,July,South,SDL,4,46A,15.07
2018,July,South,SDL,4,47A,8.57
2018,July,South,SDL,4,48A,7.74
2018,July,South,SDL,4,49A,15.85
2018,July,South,SDL,4,50A,12.37
2018,July,South,SDL,4,51A,12.43
2018,July,South,SDL,4,52A,10.08
2018,July,South,SDL,4,53A,16.77
2018,July,South,SDL,4,54A,7.69
2018,July,South,SDL,4,55A,12.94
2018,July,South,SDL,4,56A,7.19
2018,July,South,SDL,4,57A,9.77
2018,July,South,SDL,4,58A,13.27
2018,July,South,SDL,4,59A,13.71
2018,July,South,SDL,4,60A,8.11
2018,July,South,KF2,5,21A,17.95
2018,July,South,KF2,5,22A,12.27
2018,July,South,KF2,5,23A,13.03
2018,July,South,KF2,5,24A,17.19
2018,July,South,KF2,5,25A,15.54
2018,July,South,KF2,5,26A,17.41
2018,July,South,KF2,5,27A,13
2018,July,South,KF2,5,28A,15.16
2018,July,South,KF2,5,29A,12.86
2018,July,South,KF2,5,30A,14.55
2018,July,South,KF2,5,31A,12.48
2018,July,South,KF2,5,32A,11.45
2018,July,South,KF2,5,33A,11.79
2018,July,South,KF2,5,34A,17.1
2018,July,South,KF2,5,35A,11.48
2018,July,South,KF2,5,36A,14.38
2018,July,South,KF2,5,37A,9.43
2018,July,South,KF2,5,38A,10.89
2018,July,South,KF2,5,39A,15.58
2018,July,South,KF2,5,40A,10.49
2018,July,South,KF1,6,1A,10.64
2018,July,South,KF1,6,2A,9.44
2018,July,South,KF1,6,3A,10.42
2018,July,South,KF1,6,4A,11.03
2018,July,South,KF1,6,5A,17.67
2018,July,South,KF1,6,6A,12.4
2018,July,South,KF1,6,7A,13.66
2018,July,South,KF1,6,8A,21
2018,July,South,KF1,6,9A,10.56
2018,July,South,KF1,6,10A,12.76
2018,July,South,KF1,6,11A,10.85
2018,July,South,KF1,6,12A,28.49
2018,July,South,KF1,6,13A,6.24
2018,July,South,KF1,6,14A,11.92
2018,July,South,KF1,6,15A,13.13
2018,July,South,KF1,6,16A,17.03
2018,July,South,KF1,6,17A,9.92
2018,July,South,KF1,6,18A,23.69
2018,July,South,KF1,6,19A,10.85
2018,July,South,KF1,6,20A,15.62
